TRANSPORT_ID,IDENTIFIER_NUMBER,REGISTRATION_NUMBER_1,REGISTRATION_NUMBER_2,DEPARTURE_DATE,NAT_TRANSPORT_MODE_CODE,INTL_TRANSPORT_MODE_CODE,NATIONALITY,CUSTOMS_OFFICE,CMR_NUMBER,CMR_DATE,TIR_NUMBER,TIR_DATE,CARRIER_CODE,HAS_IDENTIFIER_DEFECT,HAS_CMR_NUMBER_DEFECT,HAS_TIR_NUMBER_DEFECT,HAS_TIR_DATE_DEFECT,HAS_CMR_DATE_DEFECT,HAS_CUSTOMS_OFFICE_DEFECT,HAS_TRANSPORT_DEFECT
505960,P207450003,BT3781-50,Y540BM-752,15/07/16,3,3,RO,ROIS8200,0,15/07/16,0,15/07/16,D-TRANSGROUPE,0,0,0,0,0,0,0
505961,P207450003,BT3781-50,Y540BM-755,15/07/16,3,3,RO,,0,15/07/16,0,15/07/16,D-TRANSGROUPE,0,0,0,0,0,0,0
608821,,VSJBK,,13/09/17,3,3,IT,FR00678A,,,,,,,,,,,,
608828,,VSRBK,,13/09/17,3,3,IT,FR00678A,,,,,,,,,,,,
608829,,VSRBK,,13/09/17,3,3,IT,FR00678A,,,,,,,,,,,,
608830,,RSRBK,,13/09/17,3,3,IT,FR00678A,,,,,,,,,,,,
608831,,RSRBK,,13/09/17,3,3,IT,FR00678A,,,,,,,,,,,,
609846,,R5845BCR,,23/02/17,3,3,ES,,,,,,,,,,,,,
610378,,R5830BCR,,24/02/17,3,3,ES,,,,,,,,,,,,,
610379,,R6699BBY,,24/02/17,3,3,ES,,,,,,,,,,,,,
611334,,34PK0220,,28/02/17,3,3,TR,FR004430,,,,,,,,,,,,
610855,,R9295BCK,,27/02/17,3,3,ES,,,,,,,,,,,,,
612333,,R2102BBN,,02/03/17,3,3,ES,,,,,,,,,,,,,
612952,,R6589BCV,,06/03/17,3,3,ES,,,,,,,,,,,,,
613048,,34GH9181,,06/03/17,3,3,TR,FR004430,,,,,,,,,,,,
612949,,,,06/03/17,3,1,RO,ROCT1970,,,,,ARKAS,,,,,,,
612984,,588232,,06/03/17,3,4,FR,FR00677A,,,,,ARC,,,,,,,
612985,,588221,,06/03/17,3,4,FR,FR00677A,,,,,ARC,,,,,,,
612986,,588221,,06/03/17,3,4,FR,,,,,,ARC,,,,,,,
612965,,588231,,06/03/17,3,4,FR,FR00677A,,,,,ARC,,,,,,,
612982,,588220,,06/03/17,3,4,FR,FR00677A,,,,,ARC,,,,,,,
612983,,588220,,06/03/17,3,4,FR,,,,,,ARC,,,,,,,
612980,,588219,,06/03/17,3,4,FR,FR00677A,,,,,ARC,,,,,,,
612981,,588219,,06/03/17,3,4,FR,,,,,,ARC,,,,,,,
612978,,588218,,06/03/17,3,4,FR,FR00677A,,,,,ARC,,,,,,,
612979,,588218,,06/03/17,3,4,FR,,,,,,ARC,,,,,,,
612679,RPA170071,TARAGO,,08/03/17,3,3,,,,,,,,,,,,,,
612557,RME170041,WORLDSPIRIT,,06/03/17,3,3,,,,,,,,,,,,,,
609705,,34ED3729,,23/02/17,3,3,TR,FR004250,,,,,,,,,,,,
605624,,BT375553,,13/02/17,3,3,PL,PL301040,,,,,,,,,,,,
605625,,BT375552,,13/02/17,3,3,PL,,,,,,,,,,,,,
607519,,BT375550,BT374443,13/02/17,3,3,PL,PL301040,,,,,BT374443,0,0,0,0,0,,2
607520,,BT375550,,13/02/17,3,3,PL,,,,,,,0,0,0,0,0,0,2
660327,,,,17/07/17,3,1,FR,FR002300,,,,,MERTZ,,,,,,,
660328,,,,17/07/17,3,1,FR,,,,,,MERTZ,,,,,,,
660329,,,,17/07/17,3,1,FR,FR002300,,,,,MERTZ,0,0,0,0,0,,2
660330,,,,17/07/17,3,1,FR,,,,,,MERTZ,0,0,0,0,0,,2
660340,,DL910YV,,18/07/17,3,4,FR,FR00677A,,,,,,,,,,,,
660341,,DL910YV,,18/07/17,3,4,FR,,,,,,,,,,,,,
660342,,DL910YV,,18/07/17,3,4,FR,FR00677A,,,,,,0,0,0,0,0,,2
660343,,DL910YV,,18/07/17,3,4,FR,,,,,,,0,0,0,0,0,,2
660346,,DL910YV,,18/07/17,3,4,FR,FR00677A,,,,,,,,,,,,
660347,,DL910YV,,18/07/17,3,4,FR,,,,,,,,,,,,,
660348,,DL910YV,,18/07/17,3,4,FR,FR00677A,,,,,,0,0,0,0,0,,2
660349,,DL910YV,,18/07/17,3,4,FR,,,,,,,0,0,0,0,0,,2
660351,,DL910YV,,18/07/17,3,4,FR,FR00677A,,,,,,,,,,,,
660352,,DL910YV,,18/07/17,3,4,FR,,,,,,,,,,,,,
660353,,DL910YV,,18/07/17,3,4,FR,FR00677A,,,,,,0,0,0,0,0,,2
660354,,DL910YV,,18/07/17,3,4,FR,,,,,,,0,0,0,0,0,,2
660355,,DL910YV,,18/07/17,3,4,FR,FR00677A,,,,,,,,,,,,
660356,,DL910YV,,18/07/17,3,4,FR,,,,,,,,,,,,,
660357,,DL910YV,,18/07/17,3,4,FR,FR00677A,,,,,,0,0,0,0,0,,2
660358,,DL910YV,,18/07/17,3,4,FR,,,,,,,0,0,0,0,0,,2
660362,,DL910YV,,18/07/17,3,4,FR,FR00677A,,,,,,,,,,,,
660363,,DL910YV,,18/07/17,3,4,FR,,,,,,,,,,,,,
660364,,DL910YV,,18/07/17,3,4,FR,FR00677A,,,,,,0,0,0,0,0,,2
660365,,DL910YV,,18/07/17,3,4,FR,,,,,,,0,0,0,0,0,,2
660367,,,MRKU2599967,18/07/17,3,1,FR,FR002300,,,,,MERTZ,,,,,,,
660368,,,MRKU2599967,18/07/17,3,1,FR,,,,,,MERTZ,,,,,,,
660369,,,MRKU2599967,18/07/17,3,1,FR,FR002300,,,,,MERTZ,0,0,0,0,0,,2
